title,cover,city,region,address,rooms_desc,area_range,all_ready,price,hourseDecoration,company,hourseType,on_time,open_date,tags,totalPrice_range,sale_status,detail_url
观唐云鼎,https://image1.ljcdn.com/hdic-resblock/93e7d0c3-acb1-4954-815b-01600674109d.jpg,北京,密云,溪翁庄镇密溪路39号院（云佛山度假村对面）,"[""3"", ""5""]","[""346"", ""613""]",1,30000,毛坯,北京世纪光华房地产开发有限公司,别墅,2019-04-24 17:42:30,2018-06-30,"[""\u516c\u4ea4\u76f4\u8fbe"", ""\u591a\u8f68\u4ea4\u6c47"", ""\u8d2d\u7269\u65b9\u4fbf"", ""\u8d85\u5e02""]","[""1000"", ""1850""]",3,https://bj.fang.lianjia.com/loupan/p_gtydaahbx/
硅谷SOHO,https://image1.ljcdn.com/hdic-resblock/e614cf20-d8dc-4c41-bbf9-217fb8410c67.jpg,北京,昌平,京藏高速科技园出口（28出口）凉水河路,"[""1""]","[""49""]",1,20000,毛坯,北京汉慈堂康体有限公司,商业类,0000-00-00 00:00:00,2016-10-01,"[""\u7eff\u91d1\u6848\u573a"", ""\u73af\u7ebf\u623f"", ""\u5a31\u4e50\u4e30\u5bcc""]","[""85""]",3,https://bj.fang.lianjia.com/loupan/p_ggsohoaahsj/
檀香府,https://image1.ljcdn.com/newhouse-user-image/1e74301a257dfe09e60217ae980cf1ed.jpg,北京,门头沟,京潭大街与潭柘十街交叉口,"[""3"", ""4""]","[""124"", ""170""]",1,40000,毛坯,北京京投灜德置业有限公司,住宅,2019-03-14 16:05:42,2023-04-10,"[""\u7eff\u91d1\u6848\u573a"", ""\u516c\u4ea4\u76f4\u8fbe"", ""\u73af\u7ebf\u623f""]","[""530"", ""750""]",3,https://bj.fang.lianjia.com/loupan/p_txfbieew/
泰禾金府大院,https://image1.ljcdn.com/newhouse-user-image/d6f416ff14ee0d1e8e02b2795be0e605.jpg,北京,丰台,南四环地铁新宫站南800米,"[""4""]","[""362"", ""504""]",1,75000,毛坯,北京侨禧投资有限公司,别墅,2019-09-29 14:01:19,2019-08-99,"[""\u7eff\u91d1\u6848\u573a"", ""\u5730\u94c1\u6cbf\u7ebf"", ""\u516c\u4ea4\u76f4\u8fbe""]","[""2700"", ""3700""]",3,https://bj.fang.lianjia.com/loupan/p_thjfdybileu/
中海云筑,https://image1.ljcdn.com/hdic-resblock/prod-4bc7140b-7354-46a2-bebd-e6d10e421099phpTFJboE,北京,大兴,京开高速庞各庄桥西1500米，团结路北（庞各庄镇宏轩饺子馆儿对面）,"[""3""]","[""266""]",1,28000,毛坯,北京中海兴达房地产开发有限公司,别墅,2018-10-31 11:17:21,2018-10-30,"[""\u4f4e\u603b\u4ef7"", ""\u9650\u7ade\u623f"", ""\u73af\u7ebf\u623f"", ""\u8fd1\u4e3b\u5e72\u9053""]","[""750""]",3,https://bj.fang.lianjia.com/loupan/p_zhyzbixyb/
首创·河著,https://image1.ljcdn.com/newhouse-user-image/f1290c65222b7594e76b5479393b7a1a.jpg,北京,顺义,京承高速11出口（昌金路）向东900 米路北,"[""4""]","[""248"", ""310""]",1,41000,毛坯,北京联创盛业房地产开发有限公司,别墅,2019-06-04 10:38:02,2020-05-01,"[""\u4f4e\u603b\u4ef7"", ""\u7eff\u91d1\u6848\u573a"", ""\u516c\u4ea4\u76f4\u8fbe""]","[""1200"", ""1900""]",3,https://bj.fang.lianjia.com/loupan/p_scrszbjeyu/
华萃西山,https://image1.ljcdn.com/newhouse-user-image/2ddcd46d559164dd3e67ce5cd8e8ffda.jpg,北京,门头沟,永定镇地铁S1号线石厂西南700米,"[""3"", ""4""]","[""93"", ""122""]",1,48000,毛坯,北京西元祥泰房地产开发有限公司,住宅,2020-03-20 18:22:58,2019-07-99,"[""\u9650\u7ade\u623f"", ""\u591a\u8f68\u4ea4\u6c47"", ""\u73af\u7ebf\u623f"", ""\u6210\u719f\u5546\u5708""]","[""560"", ""600""]",3,https://bj.fang.lianjia.com/loupan/p_hcxsbjfaw/
京西悦府,https://image1.ljcdn.com/hdic-resblock/daf4f8b5-8e42-4308-9dc9-764207639d67.JPG,北京,房山,北京市房山区燕房线阎村地铁站东南角约189米,"[""3"", ""4""]","[""175"", ""176""]",1,40000,毛坯,北京恒乐置业有限公司,别墅,2020-03-27 12:01:20,2018-12-01,"[""\u7eff\u91d1\u6848\u573a"", ""\u5730\u94c1\u6cbf\u7ebf"", ""\u73af\u7ebf\u623f""]","[""700"", ""780""]",3,https://bj.fang.lianjia.com/loupan/p_thjxyfbjifq/
龙湾别墅,https://image1.ljcdn.com/newhouse-user-image/f4fee44114c8cb9c439b81b0e0d04a0b.jpg,北京,顺义,后沙峪镇龙湾别墅,"[""4"", ""5""]","[""218"", ""317""]",1,70000,毛坯,北京英才房地产开发有限公司,住宅,2019-07-08 15:46:44,2018-11-11,"[""\u73af\u7ebf\u623f"", ""\u4e34\u8fd1\u9ad8\u901f"", ""\u6210\u719f\u5546\u5708"", ""\u8d2d\u7269\u65b9\u4fbf""]","[""2300""]",3,https://bj.fang.lianjia.com/loupan/p_lwbsbjlcw/
京投发展·锦悦府,https://image1.ljcdn.com/newhouse-user-image/34279cfe9058c2c2615c7187ee525ae8.jpg,北京,密云,檀营乡檀东路西侧,"[""3""]","[""90""]",1,25607,,北京京投兴檀房地产有限公司,住宅,2019-09-10 17:12:09,2019-03-01,"[""\u9650\u7ade\u623f"", ""\u516c\u4ea4\u76f4\u8fbe"", ""\u73af\u7ebf\u623f""]","[""220""]",3,https://bj.fang.lianjia.com/loupan/p_jtfzyfbjozd/
